title,score,type,number_of_seasons,number_of_episodes,release_date,duration,resume,top_cast,audience,country,original_language
De la Terre à la Lune,8.6,"Action,Drama,History",1,12,1998,1 hour,"The twelve episodes follow the Apollo space program from a variety of viewpoints: (1) ""Can We Do This?"" maps the origins of Apollo and its Mercury and Gemini roots; (2) ""Apollo 1"" tells of the tragic fire and the subsequent finger-pointing; (3) ""We Have Cleared the Tower"" portrays the intense preparation for Apollo 7; (4) ""1968"" puts Apollo 8 into its historical context against events of the era; (5) ""Spider"" shows the engineering POV through the design, building, and testing of the LEMs with Apollos 9 and 10, (6) ""Mare Tranquilitatis"" shows the deeper considerations behind the historic Apollo 11 lunar landing; (7) ""That's All There Is"" portrays the camaraderie of the Apollo 12 crew; (8) ""We Interrupt This Program"" shows a by-now-indifferent media galvanized by the events of Apollo 13; (9) ""For Miles and Miles"" tells of Alan Shepherd's return to the manned program with Apollo 14 after being grounded between Mercury and Gemini; (10) ""Galileo Was Right"" show the non-piloting demands on the Apollo 15 astronauts as they train in lunar field geology; (11) ""The Original Wives Club"" gives the female POV through the wives of the New Nine; and (12) ""La Voyage Dans La Lune"" brings things full circle by contrasting Georges Méliès's vision and drive in creating his 1902 film with Apollo 17 and the Apollo program's close.","Tom Hanks,Nick Searcy,Lane Smith,David Andrews,Daniel Hugh Kelly,Stephen Root,David Clyde Carr,Tim Daly,Steve Hofvendahl,Conor O'Farrell,Brett Cullen,Cary Elwes,Ben Marley,Mike Pniewski,Holmes Osborne,Tom Verica,John Posey,Rita Wilson",TV-14,United States,English
Long Way Round,8.6,"Documentary,Adventure",1,10,2004–2010,5 hours 15 minutes,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.","Ewan McGregor,Charley Boorman,David Alexanian,Russ Malkin,Claudio von Planta,Jimmy Simak,Eve Mavrakis,Olly Boorman,Doone Boorman,Kinvara Boorman,Jim McGregor,John Boorman,Christel Kruse Boorman,Carol McGregor,Daisy Boorman,Margrit von Planta,Natalie Portman,Paul Teutul Sr.",TV-PG,United Kingdom,English
Neon Genesis Evangelion,8.5,"Animation,Action,Drama",1,26,1995–1996,24 minutes,"When the Angels start attacking the planet Earth in the year 2015, only a handful of 14-year-old EVA pilots are able to stop them. Young Shinji Ikari suddenly finds himself forced to pilot EVA-01, a giant organic mecha, designed and constructed by NERV, that is the only thing that can stop the Angels.","Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,Allison Keith,Sue Ulu,Amanda Winn Lee,Tristan MacAvery,Tiffany Grant,Guil Lunde,Matt Greenfield,Kendra Benham,Jason Lee,Casey Mongillo,Carrie Keranen,Erica Lindbeck,Ryan Bartley,Pedro de Aguillón",12,Japan,Japanese
Naruto: Shippuden,8.6,"Animation,Action,Adventure",1,502,2007–2017,24 minutes,"Naruto Uzumaki wants to be the best ninja in the land. He's done well so far, but with the looming danger posed by the mysterious Akatsuki organization, Naruto knows he must train harder than ever and leaves his village for intense exercises that will push him to his limits.","Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,Dave Wittenberg,Kazuhiko Inoue,Kyle Hebert,Yuri Lowenthal,Noriaki Sugiyama,Masako Katsuki,Debi Mae West,Colleen O'Shaughnessey,Steve Blum,Stephanie Sheh,Shôtarô Morikubo,Tom Gibis,Rikiya Koyama,Troy Baker",Tous Public,Japan,"English,Japanese"
La Ligue des justiciers,8.5,"Animation,Action,Adventure",2,52,2001–2004,22 minutes,"Forces of evil, chaos, and destruction await. Not even protectors like Superman, Batman, Wonder Woman, Green Lantern, the Flash, Hawkgirl or the Martian Manhunter may have a chance alone. But together as the Justice League, they are a metahuman force (and a hope) to be reckoned with.","Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera,Kevin Conroy,Susan Eisenberg,Jason Marsden,Mark Hamill,Clancy Brown,Corey Burton,Jennifer Hale,Phil Morris,Olivia d'Abo,Susan Sullivan,Richard Doyle,Brian George,Kevin Michael Richardson",Tous Public,United States,English
Les allumés,8.5,"Action,Comedy",2,14,1999–2001,25 minutes,The adventures of Tim and Daisy who rent a room in Marsha Klein's house under the pretense that they are a couple. Also in the house is frustrated painter Brian. Together with TA fanatic Mike and Daisy's girlfriend Twist the duo get into a series of situations with hilarious results.,"Simon Pegg,Jessica Hynes,Julia Deakin,Nick Frost,Mark Heap,Katy Carmichael,Aida the Dog,Lucy Akhurst,Anna Wilson-Jones,Bill Bailey,James Lance,Peter Serafinowicz,Clive Russell,Sally Grace,Rowena Cooper,Michael Smiley,Gemma Padley,Jonathan Ryland",TV-14,United Kingdom,English
Mr. Bean,8.5,"Comedy,Family",1,15,1990–1995,25 minutes,"Mr Bean (portrayed by Sir Rowan Sebastian Atkinson) is a lazy, crazy, clumsy, mischievous and destructive lunatic alien man from outer space who has fallen to earth out of his UFO. join him on his adventures of solving problems and creating worse disasters in this hilarious slapstick science fiction comedy Television sitcom series for the entire family.","Rowan Atkinson,Robin Driscoll,Matilda Ziegler,Matthew Ashforde,Roger Sloman,Susie McKenna,Nick Hancock,C.J. Allen,Rupert Vansittart,Howard Goodall,Hugo Mendez,Christopher Driscoll,Rupert Bates,Angus Deayton,Paul Bown,Dave O'Higgins,Richard Wilson,Michael Fenton Stevens",Tous publics,United Kingdom,English
Nord et Sud,8.6,"Drama,Romance",1,4,2004,3 hours 55 minutes,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.","Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith,Sinéad Cusack,Brendan Coyle,Pauline Quirke,Jo Joyner,Kay Lyon,Lesley Manville,Anna Maxwell Martin,Emma Owen,Jane Booker,Tom Charnock,William Houston,John Light,Brian Protheroe,Will Tacey,Lucy Brown",TV-PG,United Kingdom,English
The Eric Andre Show,8.6,Comedy,5,59,2012– ,11 minutes,"Comedian Eric Andre invites guests who are unfamiliar with his work to his talk show. Expecting a routine interview, the unsuspecting guests are subjected to bizarre, deliberate, surrealist pranks. Eric Andre also hits the streets of New York City to carry out pranks in public.","Eric André,Hannibal Buress,Robert Smith,Tom Ato,Early McCalister,Pfelton Sutton,Jerry Wheeler,Adora Dei,John Bueno,JV Smith,Jermaine Fowler,Tom Kane,Felipe Esparza,Duane R. Shepard Sr.,Don Peake,Sumiyo Iwasawa,Emilio Palame,Harold Cannon",TV-MA,United States,English
What We Do in the Shadows,8.6,"Comedy,Fantasy,Horror",4,31,2016– ,30 minutes,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.","Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,Mark Proksch,Kristen Schaal,Doug Jones,Anthony Atamanuik,Veronika Slowikowska,Jake McDorman,Beanie Feldstein,Gloria Laino,Karly Bon,Kae Kae Lee,Indiana Mehta,Taika Waititi,Gavin Fox,Chris Sandiford",12,United States,English
Cobra Kai,8.6,"Action,Comedy,Drama",4,41,2018– ,30 minutes,"Thirty years after their final confrontation at the 1984 All Valley Karate Tournament, Johnny Lawrence is at rock-bottom as an unemployed handyman haunted by his wasted life. However, when Johnny rescues a bullied kid, Miguel, from bullies, he is inspired to restart the notorious Cobra Kai dojo. However, this revitalization of his life and related misunderstandings find Johnny restarting his old rivalry with Daniel LaRousso, a successful businessman who may be happily married, but is missing an essential balance in life since the death of his mentor, Mr. Miyagi. Meanwhile, even as this antipathy festers, it finds itself reflected in their protegees as Miguel and his comrades are gradually poisoned by Cobra Kai's thuggish philosophy. Meanwhile, while Daniel's daughter, Samantha, finds herself in the middle of this conflict amidst false friends, Johnny's estranged miscreant son, Robby, finds himself inadvertently coming under Daniel's wing and flourishes in ways worthy of Mr. Miyagi.","Courtney Henggeler,Mary Mouser,Tanner Buchanan,Ralph Macchio,Xolo Maridueña,William Zabka,Jacob Bertrand,Gianni DeCenzo,Martin Kove,Vanessa Rubio,Peyton List,Aedin Mincks,Owen Morgan,Khalil Everage,Nichole Brown,Hannah Kepple,Joe Seo,Griffin Santopietro",16,United States,English
Yellowstone,8.7,"Drama,Western",4,37,2018– ,1 hour,"Yellowstone follows the Dutton family, led by John Dutton, who controls the largest contiguous ranch in the United States, under constant attack by those it borders - land developers, an Indian reservation, and America's first National Park. It is an intense study of a violent world far from media scrutiny - where land grabs make developers billions, and politicians are bought and sold by the world's largest oil and lumber corporations. Where drinking water poisoned by fracking wells and unsolved murders are not news: they are a consequence of living in the new frontier. It is the best and worst of America seen through the eyes of a family that represents both.","Kevin Costner,Luke Grimes,Kelly Reilly,Wes Bentley,Cole Hauser,Kelsey Asbille,Brecken Merrill,Jefferson White,Gil Birmingham,Forrie J. Smith,Denim Richards,Ian Bohen,Mo Brings Plenty,Jake Ream,Danny Huston,Ryan Bingham,Wendy Moniz-Grillo,Jen Landon",10,United States,English
Justified,8.6,"Action,Crime,Drama",6,78,2010–2015,44 minutes,"U.S. Marshal Raylan Givens is a modern day nineteenth century-style lawman, enforcing his brand of justice in a way that puts a target on his back with criminals, and places him at odds with his bosses in the Marshal service. That conflict results in a reassignment for Givens to the U.S. District covering the town where he grew up. He is an anachronism, a tough, soft-spoken gentleman who finds his quarry fascinating, but never gives an inch. Dig under his placid skin and you'll find an angry man who grew up hard in rural Kentucky, with an outlaw father, who knows a lot more about who he doesn't want to be than who he really is.","Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,Erica Tazel,Walton Goggins,Natalie Zea,Jere Burns,David Meunier,Jonathan Kowalsky,Rick Gomez,Raymond J. Barry,Jesse Luken,Damon Herriman,Jeremy Davies,Justin Welborn,Mykelti Williamson,Kaitlyn Dever",Tous publics,United States,English
Making a Murderer,8.5,"Documentary,Crime",2,20,2015–2018,1 hour,"Filmed over a 10-year period, ","Steven Avery,Dolores Avery,Laura Nirider,Dean Strang,Jerry Buting,Allan Avery,Kathleen Zellner,Barb Tadych,Ken Kratz,Brendan Dassey,Steven Drizin,Len Kachinsky,Kim Ducat,Sandra Greenman,Stephen Glynn,Peter Dassey,Robert Dvorak,Chuck Avery",16,United States,English
Voyage dans l'espace-temps,8.6,Documentary,8,62,2010–2017,1 hour,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point where hard facts and evidence may be able to provide us with answers instead of philosophical theories. Through the Wormhole will bring together the brightest minds and best ideas from the very edges of science - Astrophysics, Astrobiology, Quantum Mechanics, String Theory, and more - to reveal the extraordinary truth of our Universe.","Morgan Freeman,Sean Carroll,Michio Kaku,Kip Thorne,Carlos Frenk,Max Tegmark,Lee Smolin,Paul Davies,Janna Levin,Frank Tipler,Frank Close,Michael Persinger,Andy Albrecht,Paul Steinhardt,Will Wright,David Spergel,Alan Guth,Steve Nahn",TV-PG,United States,English
QI,8.6,"Comedy,Game-Show",19,305,2003– ,30 minutes,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.","Alan Davies,Stephen Fry,Sandi Toksvig,Phill Jupitus,Bill Bailey,Jimmy Carr,Jo Brand,David Mitchell,Sean Lock,Rich Hall,Ross Noble,Jason Manford,Clive Anderson,Aisling Bea,Sue Perkins,Rob Brydon,Josh Widdicombe,Jeremy Clarkson",TV-PG,United Kingdom,English
Yeh Meri Family,9.1,"Comedy,Drama,Family",1,7,2018,30 minutes,"Harshu(12), a rebel Indian adolescent is coming of age by questioning and understanding the dynamics of relationships in a middle class family. Every episode sees Harshu, whose voice over breaks the fourth wall, understanding a particular relationship; be that with his mother, father, siblings, friends or his school crush Vidhya. In finale, he realizes the importance of whole family.","Vishesh Bansal,Mona Singh,Akarsh Khurana,Ahan Nirban,Ruhi Khan,Prasad Reddy,Revathi Pillai,Brij Bhushan Shukla,Nishaad Javeri,Burjor Dastur,Jai Shankar Tripathi,Mazda Taraporewala,Dinesh,Aman Malhotra,Mukesh Yadav,Rajiv Kachroo,Vijay Koshy,Abhay Pannu",TV-14,India,Hindi
Crash Landing on You,8.7,"Adventure,Comedy,Romance",1,19,2019–2020,1 hour 10 minutes,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,"Hyun Bin,Son Ye-jin,Seo Ji-hye,Kim Jung-hyun,Yang Kyung-won,Yoo Su-bin,Lee Sin-young,Tang Joon-sang,Kim Sun-young,Jang So-yeon,Kim Jung-nan,Cha Cheong-hwa,Oh Man-seok,Park Hyoung-soo,Go Gyu-pil,Park Myeong-hoon,Kim Young-min,Hwang Woo-seul-hye",13,South Korea,Korean
The Family Man,8.8,"Action,Comedy,Drama",2,19,2019– ,45 minutes,"The Family Man is an edgy action-drama series, which tells the story of a middle-class man who works for a special cell of the National Investigation Agency. While he tries to protect the nation from terrorists, he also has to protect his family from the impact of his secretive, high-pressure, and low paying job.","Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi,Ashlesha Thakur,Vedant Sinha,Shahab Ali,Shreya Dhanwanthary,Sharad Kelkar,Dalip Tahil,Darshan Kumaar,Sunny Hinduja,Aritro Rudraneil Banerjee,Pawan Chopra,Neeraj Madhav,Mime Gopi,Srikrishna Dayal,Vijay Vikram Singh",16,India,Hindi
Dopesick,8.8,Drama,1,8,2021,1 hour,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg,Will Poulter,John Hoogenakker,Kaitlyn Dever,Rosario Dawson,Will Chase,Phillipa Soo,Raúl Esparza,Ian Unterman,Andrea Frankle,Jake McDorman,Brendan Patrick Connor,Lawrence Arancio,Arischa Conner,Winsome Brown,Andrés Erickson",TV-MA,United States,English
Kenshin le Vagabond - Le Chapitre de la Mémoire,8.6,"Animation,Action,Adventure",1,4,1999,1 hour 58 minutes,"In Meiji era Japan, Kenshin Himura has been trained in the deadliest of sword arts. When the House he was hired by is defeated and forced into hiding, Kenshin must pretend to be the husband of Tomoe. The only catch is, Kenshin killed her fiance, and she is now secretly spying on him. While in hiding, Kenshin and Tomoe grow to love each other, and Kenshin comes to terms with who he is. This is the backstory to the Rurouni Kenshin manga and to a lesser extent, the television series based off of the manga.","Mayo Suzukaze,Junko Iwao,Nozomu Sasaki,Masami Suzuki,Shûichi Ikeda,Tomokazu Seki,Wataru Takagi,Ryûsei Nakao,Hirotaka Suzuoki,Akari Hibino,Minoru Uchida,Tetsuya Iwanaga,Satoshi Tsuruoka,Mitsuaki Hoshino,Hiromi Setsu,Rikiya Koyama,Hiroshi Takahashi,Hiroshi Shimozaki",Not Rated,Japan,Japanese
